type,module_id,chapter_id,title,color,description,estimatedTime
module,1,,Intro to Sustainable Energy for Development,#00C1FF,"Module 1 offers an overview of sustainable energy within the global development agenda, linking it to challenges like climate change and energy poverty, and opportunities for economic growth and energy security. It introduces SDG7, its progress, and interlinkages, while presenting UNDP’s Energy Moonshot and the Sustainable Energy Academy’s tools for accelerating energy transitions.",140 min
module,2,,Energy Access and Inclusive Energy Services,#02A38A,"Module 2 explores energy access and inclusive energy services as fundamental human rights and essential to social progress, economic growth, and development. It addresses persistent global gaps—where 685 million lack access—and highlights how the sustainable energy transition can correct imbalances, improve lives, and deliver equitable, safe, and affordable energy for all.",160 min
module,3,,Just Energy Transition,#59BA47,"Module 3 explores the Just Energy Transition, emphasizing equity, justice, and inclusion in the shift to sustainable energy. It addresses social and environmental challenges, promotes locally tailored solutions, and highlights the need for community-led action, worker support, and economic diversification to ensure no one is left behind in the transition.",140 min
module,4,,Sustainable Energy Finance,#FBC412,"Module 4 explores financial and market strategies driving the global energy transition, especially in developing countries. It examines public-private investments, innovative financing, and market dynamics, while addressing barriers like regulatory hurdles and risks. It also emphasizes energy finance’s broader development impacts—including gender, social, governance, and environmental dimensions—and practical solutions for scaling investment.",200 min
module,5,,Energy Governance for a Just Energy Transition,#E78625,"Module 5 examines energy governance as a catalyst for a just energy transition, highlighting inclusive institutions, legal frameworks, civic engagement, and oversight. It introduces people-centered, adaptable, digital, and multi-level governance approaches, offering tools and case studies to enhance transparency, policy coherence, and accountability for equitable and sustainable energy transformation.",160 min
module,6,,The Climate Change-Energy Nexus,#E05258,"Module 6 explores the deep link between energy systems and climate change, emphasizing the urgent need to shift to zero-carbon energy. It addresses emissions, climate risks to infrastructure, and adaptive solutions like resilient grids and renewables—highlighting their transformative role in building climate resilience and securing a sustainable energy future.",160 min
module,7,,Data in Sustainable Energy,#1F5A95,"Module 7 offers a in-depth introduction to the role of energy data in planning, monitoring, and evaluation for sustainable energy development. It emphasizes the importance of reliable, ethical data for achieving SDG7, explores standardized frameworks, key indicators, and challenges, and introduces innovative tools like AI and energy modeling for informed policymaking.",140 min
module,8,,Innovation in Sustainable Energy,#757AF0,"Module 8 explores future energy trends and projections, emphasizing the creation of enabling environments for innovation. It highlights the role of partnerships, collaboration, and inclusive practices in driving sustainable energy transitions. Learners will gain tools to foster innovation ecosystems and lead transformative change across the global energy landscape.",100 min
chapter,1,1.1,Introduction to Energy Systems,,"This chapter explores global energy flows, the energy trilemma, and the urgent need for a sustainable transition to meet climate and development goals.",30 min
chapter,1,1.2,Interlinkages between Energy and other SDGs ,,"This chapter explores SDG interlinkages, emphasizing integrated, context-specific energy solutions that maximize synergies, minimize trade-offs, and advance multiple development goals.",30 min
chapter,1,1.3,"Approaches, Methods and Tools for Strategic Innovation",,"This chapter describes approaches and methods currently being applied - within the UN system and beyond - to uncover system interconnections, policy coherence and strengthen integration across the SDGs. ",30 min
chapter,1,1.4,Operationalizing Sustainable Energy Systems Transformation,,"This chapter explores methods, approaches, and tools to operationalize the energy for development approach.",30 min
chapter,2,2.1,Topic Overview and Background,,"This chapter explores energy access as a human right and a catalyst for unlocking development opportunities, examines energy poverty, and presents solutions to advance equitable, inclusive, and sustainable energy. ",30 min
chapter,2,2.2,"Current Status, Trends and Barriers to Energy Access",,"This chapter analyzes global energy access disparities, highlighting barriers, trends, and solutions to improve access for underserved and marginalized populations.",30 min
chapter,2,2.3,Bridging the Energy Access Gap,,"This chapter guides building energy systems centered on well-being, justice, and sustainability, emphasizing innovation, inclusivity, partnerships, and community-led solutions.",30 min
chapter,3,3.1,Introduction to the Energy Transition Landscape,,"This chapter introduces the just energy transition, highlighting its social, gender, and ethical dimensions beyond decarbonization, and explores practical applications.",30 min
chapter,3,3.2,Ensuring a Just Transition for Workers and Affected Communities,,"This chapter explores strategies to support workers and communities, ensuring equity, inclusion, and ethical practices in the sustainable energy transition.",30 min
