Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source
1.1.1,Introduction to the Energy for Development pathway,Introduction to Energy Systems  ,Intro to Sustainable Energy for Development,Understanding the role of sustainable energy for human well-being and development,1,energy for development,"Energy for development refers to the provision and use of energy resources to support economic growth, improve living standards, and enhance social well-being in communities, particularly in developing regions.","Tracking SDG7: The Energy Progress Report, 2024",,https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2024,"IEA, IRENA, UNSD, World Bank, WHO"
1.1.1,,,,,2,energy trilemma,"The energy trilemma refers to the challenge of balancing three key objectives in energy policy: ensuring energy security, promoting environmental sustainability, and providing energy equity or affordability for all consumers.",World Energy Outlook 2023,,https://www.iea.org/reports/world-energy-outlook-2023,IEA
1.1.1,,,,,3,paris agreement goals,"The Paris Agreement goals refer to the international commitments made by countries to limit global warming to well below 2 degrees Celsius above pre-industrial levels, with efforts to limit the temperature increase to 1.5 degrees Celsius, and to enhance the ability to adapt to climate change impacts.",World Energy Transitions Outlook 2024,,https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,IRENA
1.1.2,The Sustainable Energy Landscape,,,Exploring the benefits of sustainable energy and examining the energy transition ,1,nationally determined contributions,"Nationally Determined Contributions (NDCs) are the climate action plans that countries submit to outline their commitments to reduce greenhouse gas emissions and adapt to climate change, as part of the Paris Agreement.",Global Landscape of Renewable Energy Finance 2023,,https://www.irena.org/Publications/2023/Feb/Global-landscape-of-renewable-energy-finance-2023,IRENA
1.1.2,,,,,2,sustainable energy & renewable energy,"Sustainable energy refers to energy sources that are environmentally friendly and can be maintained over the long term without depleting resources or harming the ecosystem. Renewable energy is a subset of sustainable energy that comes from natural processes that are continuously replenished, such as solar, wind, and hydro power.",Innovation Landscape for Smart Electrification,,https://www.irena.org/Publications/2023/Jun/Innovation-landscape-for-smart-electrification,IRENA
1.1.2,,,,,3,just energy transition,"A just energy transition refers to the shift from fossil fuels to renewable energy sources in a way that is fair and equitable, ensuring that all communities, especially those historically marginalized, benefit from the transition and are not left behind.",Renewable Energy and Jobs: Annual Review 2023,,https://www.irena.org/Publications/2023/Sep/Renewable-energy-and-jobs-Annual-review-2023,IRENA
1.2.1,Access to electricity and clean cooking (SDG 7.1),Interlinkages between Energy and Other SDGs,,Catalyzing progress across the SDGs through universal energy access,1,clean cooking,"Clean cooking refers to the use of safe, efficient, and environmentally friendly cooking technologies and fuels that reduce indoor air pollution and minimize health risks, while also lowering greenhouse gas emissions.",A Vision for Clean Cooking Access for All,,https://www.iea.org/reports/a-vision-for-clean-cooking-access-for-all,IEA
1.2.1,,,,,2,energy and health,"The relationship between energy consumption, production, and its impact on human health, including how energy systems affect air quality, access to clean water, and overall well-being.",Clean Cooking Alliance 2024 Annual Report,,https://cleancooking.org/news/clean-cooking-alliance-releases-2024-annual-report/,Clean Cooking Alliance
1.2.1,,,,,3,sdg synergies,"SDG synergies refer to the interconnected benefits and positive interactions that occur when efforts to achieve one Sustainable Development Goal (SDG) also support the achievement of other SDGs, leading to more effective and holistic progress in sustainable development.",Electricity 2025,,https://www.iea.org/reports/electricity-2025,IEA
1.2.2,Renewable energy (SDG 7.2) ,,,Leveraging the SDG synergies and navigating the trade-offs in the energy transition,1,community rights in renewable energy,"Community rights in renewable energy refer to the legal and social entitlements of local communities to participate in, benefit from, and have a say in renewable energy projects that affect their environment and livelihoods.",UN Energy Compacts,,https://www.un.org/sites/un2.un.org/files/energycompacts-annual-progress-report2024-007_compressed.pdf,UN
