Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source,Resource ID
1.1.1,The Great Energy Dilemma: Paradoxes of Sustainable Development,Introduction to Energy Systems  ,Intro to Sustainable Energy for Development,Understanding the role of sustainable energy for human well-being and development,1,energy for development,"Energy for development refers to the provision and use of energy resources to support economic growth, improve living standards, and enhance social well-being in communities, particularly in developing regions.",Energy and Development in a Changing World: A Framework for the 21st Century,"This framework reflects the global energy context of the 21st century, one that is marked by the numerous development gains and the related ever-increasing economic weight and energy demand of developing countries as they successfully fight poverty and move toward prosperity.",Center on Global Energy Policy at COLUMBIA SIPA,https://www.energypolicy.columbia.edu/publications/energy-and-development-changing-world-framework-21st-century/,1111
1.1.1,,,,,2,energy trilemma,"The energy trilemma refers to the challenge of balancing three key objectives in energy policy: ensuring energy security, promoting environmental sustainability, and providing energy equity or affordability for all consumers.",Energy Development as a Driver of Economic Growth,This chapter highlights the fact that the geometric increase in energy use in developing nations has significant effects. This chapter attempts to show the relationship between the rate of economic growth and energy consumption in developing nations.,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119741503.ch5,1112
1.1.1,,,,,3,paris agreement goals,"The Paris Agreement goals refer to the international commitments made by countries to limit global warming to well below 2 degrees Celsius above pre-industrial levels, with efforts to limit the temperature increase to 1.5 degrees Celsius, and to enhance the ability to adapt to climate change impacts.",Energy-Based Economic Development,"Energy-based economic development: How clean energy can drive development and stimulate economic growth delivers working definitions, common approaches, descriptions of supportive policy mechanisms, and suggested metrics for evaluation.",ScienceDirect,"https://www.sciencedirect.com/science/article/abs/pii/S1364032110002583#:~:text=Energy%2Dbased%20economic%20development%20is,ways%20that%20contribute%20to%20job",1113
1.1.2,Energy as a Driver for Development,,,Exploring the benefits of sustainable energy and examining the energy transition ,1,nationally determined contributions,"Nationally Determined Contributions (NDCs) are the climate action plans that countries submit to outline their commitments to reduce greenhouse gas emissions and adapt to climate change, as part of the Paris Agreement.",World Energy Outlook 2024,"The 2024 edition of the IEA’s World Energy Outlook discusses the challenges of energy access, with 750 million people lacking electricity and over 2 billion without clean cooking fuels, predominantly in sub-Saharan Africa. The report also addresses the current trajectory of global energy transitions, warning of a potential rise of 2.4°C in global temperatures by 2100 if current policies persist. ",IEA,https://www.iea.org/reports/world-energy-outlook-2024,1121
1.1.2,,,,,2,sustainable energy & renewable energy,"Sustainable energy refers to energy sources that are environmentally friendly and can be maintained over the long term without depleting resources or harming the ecosystem. Renewable energy is a subset of sustainable energy that comes from natural processes that are continuously replenished, such as solar, wind, and hydro power.",Global Energy Perspective 2024,"IRENA’s World Energy Transition Outlook highlights that the global energy transition is falling short, jeopardizing the achievement of the 1.5°C climate goal set at COP21 nearly a decade ago. While there is still time to act, an urgent course correction is essential to realign with this target. Achieving this requires addressing the structural and systemic barriers that continue to hinder progress in the energy transition.",IRENA,https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,1122
1.1.2,,,,,3,just energy transition,"A just energy transition refers to the shift from fossil fuels to renewable energy sources in a way that is fair and equitable, ensuring that all communities, especially those historically marginalized, benefit from the transition and are not left behind.",World Energy Transitions Outlook 2024,"The Global Energy Perspective 2024 provides a comprehensive demand outlook for 68 sectors and 78 fuels, aligned with a 1.5°C pathway under the Paris Agreement. It also introduces three updated bottom-up energy transition scenarios, redesigned to account for evolving global conditions such as geopolitical challenges, complex supply chains, and rising inflation.",McKinsey & Company,https://www.mckinsey.com/industries/energy-and-materials/our-insights/global-energy-perspective,1123
1.1.3,The Sustainable Energy Landscape,,,,1,,,,,,,
1.1.3,,,,,2,,,,,,,
1.1.3,,,,,3,,,,,,,
1.2.1,Access to electricity and clean cooking‚ÄØ(SDG 7.1),Interlinkages between Energy and Other SDGs,,Catalyzing progress across the SDGs through universal energy access,1,clean cooking,"Clean cooking refers to the use of safe, efficient, and environmentally friendly cooking technologies and fuels that reduce indoor air pollution and minimize health risks, while also lowering greenhouse gas emissions.",2024 Tracking SDG7 Report,"This annual report tracks global progress toward UN Sustainable Development Goal 7 and serves as a guide for policymakers and the international community in advancing energy access, energy efficiency, renewable energy and international cooperation.",TRACKING SDG7,https://trackingsdg7.esmap.org/,1211
