json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'lesson', 'label']",0,Lesson,6e2b26d9de4033b952bd242f69b798420ee887151b937f394efc23252c78af74
"['segments', 0, 'content', 'title']",0,Energy Modelling Tools and Applications,62d6deaed151f7a58360333c1c39f0ff690f95d0034972d9cb53dd91fb681166
"['segments', 0, 'content', 'intro']",0,M7: Data In Sustainable Energy,b1d3eec8979c8c0772b8697b760d89b2e52cd11a07f29031a8297950fc2e3165
"['segments', 1, 'content', 'text_elements', 0, 'content', 'text']",0,<strong>Energy modelling serves various purposes across different sectors and industries:</strong>,a457087a6ba52d9baad9b8c95edeb01bdfa693b7c93b461a000be1933b025c9d
"['segments', 1, 'content', 'text_elements', 1, 'content', 'title']",0,<strong>Policy Analysis and Development</strong>,6f734af8b79f81945d6620d8d4ef97968f8977dd9a5405cdb3e4240453a0b123
"['segments', 1, 'content', 'text_elements', 1, 'content', 'body']",0,"By simulating different energy policy scenarios, policymakers can assess potential impacts and make informed decisions about policy objectives, design, and implementation.",cfd182facad78ea05ebe900bd0b383a82f0e743f2dd2ca41dc45d6439b3404ad
"['segments', 1, 'content', 'text_elements', 2, 'content', 'title']",0,<strong>Energy System Planning and Optimization</strong>,b99cc35bf7a2ae4c17dc19d81e3b5f8d257646f86ff5db42635945987ff6333d
"['segments', 1, 'content', 'text_elements', 2, 'content', 'body']",0,"Energy models help optimize the mix of energy sources and technologies, plan for future energy demand—including the development of adequate energy infrastructure such as power networks—analyze energy security risks, and ensure the reliability and stability of energy supply.",4ff854b568c2446f7754e7f69dde4403a8b9532cf4609c4b258daacdb5879dad
"['segments', 1, 'content', 'text_elements', 3, 'content', 'title']",0,<strong>Investment and Economic Analysis</strong>,fdcd43cd55b2b3f68384230a9a025f356dddd98baf401f0bc4da7a36084aeead
"['segments', 1, 'content', 'text_elements', 3, 'content', 'body']",0,"These models provide insights into the costs and benefits of different initiatives, technologies, and efficiency measures, supporting sound economic decision-making.",613f6088547f12a105d2d1cb01647172b77aaf4a27cb79aae9131e479bacf568
"['segments', 1, 'content', 'text_elements', 4, 'content', 'title']",0,<strong>Environmental Impact Assessment:</strong>,08519c8abd80e6b41823e317a727563a6baf32182ba92f34b3fe8942205d8b7e
